epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,618.642,0.82463,0.63282,0.99269,0.7471,0.54839,0.66205,0.46039,1.10064,0.73631,0.9832,0.0005942,0.0005942,0.0005942
73,627.065,0.7867,0.60832,0.97728,0.69135,0.69355,0.7482,0.48394,1.11577,0.81155,0.99792,0.0005744,0.0005744,0.0005744
74,635.643,0.80006,0.61147,0.99864,0.62827,0.68156,0.69869,0.45754,1.17579,0.82976,1.00295,0.0005546,0.0005546,0.0005546
75,643.982,0.75997,0.54779,0.96922,0.6693,0.69355,0.72726,0.46422,1.14727,0.79192,1.00152,0.0005348,0.0005348,0.0005348
76,652.399,0.76812,0.56925,0.96565,0.79345,0.61966,0.75097,0.49696,1.07893,0.71707,0.96959,0.000515,0.000515,0.000515
77,661.18,0.76247,0.56498,0.96521,0.77403,0.67742,0.74732,0.49776,1.17346,0.71518,0.99465,0.0004952,0.0004952,0.0004952
78,669.67,0.74141,0.53636,0.9588,0.80848,0.66129,0.76143,0.51223,1.113,0.68091,0.98928,0.0004754,0.0004754,0.0004754
79,678.239,0.74876,0.52888,0.94246,0.74395,0.74986,0.80524,0.52216,1.11563,0.69194,0.98679,0.0004556,0.0004556,0.0004556
80,687.044,0.6903,0.50353,0.93877,0.70647,0.81527,0.79788,0.52617,1.05632,0.69158,0.94718,0.0004358,0.0004358,0.0004358
81,695.477,0.71489,0.52762,0.95079,0.74558,0.77419,0.82251,0.5497,1.02609,0.69453,0.9224,0.000416,0.000416,0.000416
82,704.08,0.7634,0.54365,0.95339,0.69443,0.76979,0.79308,0.51421,1.08532,0.76591,0.94394,0.0003962,0.0003962,0.0003962
83,712.501,0.73856,0.53452,0.96109,0.7109,0.77419,0.78148,0.52014,1.05396,0.74017,0.92197,0.0003764,0.0003764,0.0003764
84,720.757,0.74857,0.52652,0.95397,0.74943,0.77186,0.79733,0.54772,1.01373,0.64907,0.91424,0.0003566,0.0003566,0.0003566
85,729.147,0.72455,0.52311,0.96253,0.7738,0.80645,0.80881,0.55067,1.00779,0.61882,0.92408,0.0003368,0.0003368,0.0003368
86,737.655,0.70617,0.51824,0.94312,0.78605,0.82967,0.83247,0.55502,1.00469,0.64933,0.92923,0.000317,0.000317,0.000317
87,746.086,0.72904,0.52899,0.95576,0.78706,0.77419,0.80313,0.55277,1.04597,0.65024,0.94144,0.0002972,0.0002972,0.0002972
88,754.498,0.69496,0.51133,0.94759,0.80514,0.70968,0.77593,0.53291,1.06609,0.67409,0.9488,0.0002774,0.0002774,0.0002774
89,762.918,0.7061,0.49847,0.92406,0.81256,0.69927,0.78197,0.52831,1.02923,0.65831,0.92972,0.0002576,0.0002576,0.0002576
90,771.256,0.68175,0.49258,0.92925,0.81988,0.75806,0.82646,0.52716,1.02477,0.65273,0.9225,0.0002378,0.0002378,0.0002378
91,781.321,0.74101,0.56713,0.94881,0.80585,0.72581,0.78788,0.52351,1.04562,0.65584,0.93733,0.000218,0.000218,0.000218
92,789.934,0.74896,0.5822,0.94751,0.84199,0.77355,0.80323,0.52606,1.0229,0.61504,0.94704,0.0001982,0.0001982,0.0001982
93,798.092,0.74815,0.56052,0.95293,0.79346,0.75806,0.79175,0.52421,1.02061,0.62313,0.95125,0.0001784,0.0001784,0.0001784
94,806.461,0.71033,0.54564,0.9421,0.77474,0.77664,0.80282,0.53118,1.01218,0.61767,0.94222,0.0001586,0.0001586,0.0001586
95,814.956,0.72812,0.53184,0.93996,0.76631,0.79032,0.80121,0.53497,0.99898,0.61574,0.93519,0.0001388,0.0001388,0.0001388
96,823.137,0.70379,0.54497,0.94064,0.79307,0.74194,0.79165,0.5181,1.00293,0.62338,0.93338,0.000119,0.000119,0.000119
97,831.528,0.68565,0.50085,0.91597,0.8106,0.72581,0.80175,0.52573,1.03475,0.64067,0.94378,9.92e-05,9.92e-05,9.92e-05
98,839.96,0.7252,0.55825,0.94283,0.81938,0.74194,0.81701,0.53244,1.0286,0.6298,0.94097,7.94e-05,7.94e-05,7.94e-05
99,848.131,0.69509,0.51866,0.93012,0.77953,0.77419,0.81635,0.52931,1.00799,0.62894,0.93626,5.96e-05,5.96e-05,5.96e-05
100,856.571,0.66956,0.48936,0.91009,0.7852,0.74194,0.80415,0.5234,1.0023,0.62133,0.93244,3.98e-05,3.98e-05,3.98e-05
